    codigo_animal,id_coleta,perimetro_toracico,escore_profundidade_corporal,comprimento_corporal,altura_garupa,altura_ilios,altura_isquios,comprimento_garupa,largura_ilios,largura_isquios,angulo_garupa,aprumo_pernas_posterior,comprimento_umbigo,angulo_casco_posterior,aprumo_pernas_lateral
5603,2,160,8,94,138.5,138,134.5,44,38,22,7,3,5,50,5
5604,2,155,9,95,132,131,128,40,32,15,20,4,3.5,50,5
5600,2,157,9,90,130,130.5,128,43,34,17,13,4,3,44,5
5601,2,144,9,95,115,118,115,36,29,17,12,5,1.5,50,5
5611,2,140,9,83,122,122,118,37,30,16,4,4,1.5,39,5
5616,2,149,7,87,128,129,123,42,34,19,9,3,2.5,45,5
5038,2,126,6,86,118.5,119,115,36,30,15,5,4,1,55,5
5628,2,154,9,90,128,129,122,40,32,22,8,5,5.5,44,5
5606,2,158,6,90,137,136,128,42,31,18,10,4,3.5,40,5
5609,2,159,7,95,133,133,125.5,46,38,18,18,4,1.5,44,6
5021,2,139,7,84,116,116,108,38,30,17,11,4,2,44,5
5638,2,141,9,87,121,122.5,117,38,32,16,4,4,1.5,55,5
5617,2,147,9,85,120,124.5,118,40,37,20,10,3,0,45,5
5022,2,138,8,80,130,124.5,117,38,33,13,16,5,3,51,5
5039,2,127,8,82,112,113,106,34,31,14,16,3,1.5,44,6
5623,2,149,9,85,126,128,123,38,28,14,10,4,2,50,4
5028,2,131,9,80,119.5,120,114.5,35,34,18,6,5,4,42,5
5602,2,151,9,90,128,129,123,40,36,20,6,5,4,45,5
5015,2,149,8,96,126.5,128,120,42,39,19,11,3,1,49,5
5610,2,140,7,77,121.5,121,116.5,39,30,16,8,4,1.5,46,5
5607,2,149,7,86,130,130.5,124,42,34,18,9,4,4.5,44,5
5614,2,142,6,93,126,127,118,39,32,17,12,4,1.5,44,5
5024,2,138,8,82,118,119,112,37,30,17,11,3,1,50,5
5630,2,148,8,85,126,127,121,40,30,14,5,4,3,45,5